temp,dew,humidity,precip,windspeed,pollen_intensity,Clear,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",tem amplitude,Kmeans label,birch,dbscan,risk level
14.7,9.6,73.7,0.0,22.2,4.0,1.0,0.0,0.0,0.0,0.0,10.4,0,0,-1,3
14.3,12.1,87.0,6.151,26.7,4.0,0.0,0.0,1.0,0.0,0.0,2.9000000000000004,2,1,-1,1
15.0,11.3,79.5,0.878,20.9,4.0,0.0,0.0,1.0,0.0,0.0,8.2,2,0,-1,1
14.0,11.4,84.4,5.948,14.8,3.0,0.0,0.0,1.0,0.0,0.0,5.6,2,0,-1,2
18.1,10.5,63.5,0.005,22.7,3.0,0.0,0.0,1.0,0.0,0.0,11.100000000000001,0,0,0,1
18.3,8.6,54.0,0.0,24.5,3.0,1.0,0.0,0.0,0.0,0.0,8.6,1,2,0,1
16.4,11.3,73.3,2.881,23.4,3.0,0.0,0.0,1.0,0.0,0.0,10.2,0,0,-1,3
11.6,6.7,73.3,4.736,27.8,3.0,0.0,0.0,1.0,0.0,0.0,7.200000000000001,0,0,-1,2
14.5,12.1,86.3,12.832,33.5,3.0,0.0,0.0,1.0,0.0,0.0,7.100000000000001,2,1,-1,1
14.0,8.1,68.7,1.598,29.7,3.0,0.0,0.0,1.0,0.0,0.0,7.700000000000001,0,0,-1,3
14.7,7.9,65.9,0.0,21.0,3.0,1.0,0.0,0.0,0.0,0.0,7.399999999999999,0,0,0,1
16.9,8.4,59.0,0.0,21.5,3.0,1.0,0.0,0.0,0.0,0.0,12.100000000000001,1,0,0,2
20.8,10.7,55.0,0.0,21.0,3.0,1.0,0.0,0.0,0.0,0.0,13.700000000000001,1,2,-1,1
19.8,9.1,51.1,0.0,23.2,3.0,1.0,0.0,0.0,0.0,0.0,10.200000000000001,1,2,-1,3
17.3,10.5,65.3,0.0,24.7,3.0,1.0,0.0,0.0,0.0,0.0,10.299999999999999,0,0,0,1
17.4,11.1,67.9,0.0,27.6,3.0,1.0,0.0,0.0,0.0,0.0,9.5,0,0,1,2
